t,S,I,R
10.82308733886247,101.0,152.0,247.0
10.84093073428287,101.0,151.0,248.0
10.84935399081078,101.0,150.0,249.0
10.865254439250077,101.0,149.0,250.0
10.87787629817185,101.0,148.0,251.0
10.882552574279293,100.0,149.0,251.0
10.8957752736732,100.0,148.0,252.0
10.905704611065534,100.0,147.0,253.0
10.9176169627875,99.0,148.0,253.0
10.936664260901447,99.0,147.0,254.0
10.94248358144085,99.0,146.0,255.0
10.95055365673017,98.0,147.0,255.0
10.961373834092491,98.0,146.0,256.0
10.964641809612381,98.0,145.0,257.0
10.967352185248238,98.0,144.0,258.0
10.988434794094916,97.0,145.0,258.0
10.991487279420497,96.0,146.0,258.0
10.991945747533386,96.0,145.0,259.0
10.99704803756011,96.0,144.0,260.0
11.007306032276515,96.0,143.0,261.0
11.016839204128118,96.0,142.0,262.0
11.038346567971407,96.0,141.0,263.0
11.040775669343372,94.0,143.0,263.0
11.049781977227314,94.0,142.0,264.0
11.051680173016301,93.0,143.0,264.0
11.078110378218952,92.0,144.0,264.0
11.117517706205547,91.0,145.0,264.0
11.16136018467935,90.0,146.0,264.0
11.196833708739534,90.0,145.0,265.0
11.202352609626196,90.0,144.0,266.0
11.202901895913753,90.0,143.0,267.0
11.205290210229698,89.0,144.0,267.0
11.233702106411917,88.0,145.0,267.0
11.245460861677515,88.0,144.0,268.0
11.285039996591868,88.0,143.0,269.0
11.292168357815214,87.0,144.0,269.0
11.302645385225519,86.0,145.0,269.0
11.309006810568496,86.0,144.0,270.0
11.314215612928297,86.0,143.0,271.0
11.32889877086167,86.0,142.0,272.0
11.332120994375641,85.0,143.0,272.0
11.33586955909843,85.0,142.0,273.0
11.381554223740546,85.0,141.0,274.0
11.383584299774846,85.0,140.0,275.0
11.38568011921003,85.0,139.0,276.0
11.390624154014992,85.0,138.0,277.0
11.399692950039231,85.0,137.0,278.0
11.400276331480358,85.0,136.0,279.0
11.404752606055439,84.0,137.0,279.0
11.406157882113082,84.0,136.0,280.0
