t,S,I,R
2.4229690573685905,340,418,242
2.4254148682411043,339,419,242
2.4305297720430548,339,418,243
2.430686799905087,338,419,243
2.4338616959246715,337,420,243
2.4364316888023216,336,421,243
2.4370673108463805,335,422,243
2.4383163003737525,334,423,243
2.4394491015322086,334,422,244
2.442610805820911,333,423,244
2.4435129472010035,333,422,245
2.455993769386633,332,423,245
2.456923889305889,331,424,245
2.4638771257141787,330,425,245
2.465326329597457,329,426,245
2.4690806259879032,328,427,245
2.4757825509187463,327,428,245
2.4761245073814404,327,427,246
2.4772183217251684,326,428,246
2.4777952964392007,325,429,246
2.4834197034431957,325,428,247
2.4844305636691373,325,427,248
2.4854463281874315,324,428,248
2.4855203686129457,323,429,248
2.4911028962737696,323,428,249
2.491809873238219,322,429,249
2.497015335625586,322,428,250
2.4984923739301137,321,429,250
2.501996943244052,321,428,251
2.507531713956284,321,427,252
2.5078196252701015,321,426,253
2.5088044170886814,320,427,253
2.5116290822575755,320,426,254
2.5155026365814392,320,425,255
2.5162735553107,319,426,255
2.523923704623628,319,425,256
2.5275777572948797,318,426,256
2.5289711112998052,318,425,257
2.534203702847346,318,424,258
2.536059203745871,318,423,259
2.5371174736596775,318,422,260
2.5388364005492527,317,423,260
2.5406152997731497,316,424,260
2.5427338421008243,316,423,261
2.5434108789691097,315,424,261
2.5435162832481697,315,423,262
2.5439308831160075,314,424,262
2.544466775436333,313,425,262
2.546093422459976,313,424,263
2.546479202168353,313,423,264
2.5466925122613433,312,424,264
2.552109440370457,311,425,264
2.556047349618579,310,426,264
2.5563843224266263,309,427,264
2.5565372913764195,308,428,264
2.556632552716721,307,429,264
2.558915356015727,306,430,264
2.55997462164452,306,429,265
2.5612884427983804,306,428,266
2.5638859293058527,305,429,266
2.5647751951375946,304,430,266
2.570910739933408,303,431,266
2.5721446428423973,303,430,267
2.5745854350116395,303,429,268
2.57903150210758,302,430,268
2.5791408718368545,301,431,268
2.5806100663003013,301,430,269
2.580996562495857,301,429,270
2.582920277402229,301,428,271
2.5842066021928036,301,427,272
2.586478537910989,301,426,273
2.587418206812964,301,425,274
2.5879143537835985,301,424,275
2.5902117078845777,301,423,276
2.592950137414373,301,422,277
2.596788545600504,300,423,277
2.5990389904570543,300,422,278
2.5997623124909484,300,421,279
2.6040531528968343,299,422,279
2.6060389763024796,299,421,280
2.6079815728728777,298,422,280
2.6115373865944247,297,423,280
2.6130788056960803,296,424,280
2.620960789292034,295,425,280
2.620995547155903,294,426,280
2.62360833406294,293,427,280
2.6250001891071464,292,428,280
2.625770932913165,291,429,280
2.6264625094613643,290,430,280
2.6279133283693046,290,429,281
2.632441438494665,289,430,281
2.6331402257435053,289,429,282
2.6353246379435675,288,430,282
2.636620438603102,288,429,283
2.6401887880241524,288,428,284
